id,name,address,rating,rating_text,reviews_count,reviews_text,working_status,latitude,longitude,coordinates,url,categories
82227237841,Акционерное общество Профессионал банк,"ул. Ленина, 12, Дзержинский, этаж 1",4.0,"4,0",21,21 оценка,Закрыто до завтра,55.63461,37.843914,"37.843914,55.634610",https://yandex.ru/maps/org/aktsionernoye_obshchestvo_professional_bank/82227237841/,"Банк, обмен валюты"
1132633422,Банк УРАЛСИБ,"ул. Гагарина, 58, Жуковский, этаж 1",4.1,"4,1",295,295 оценок,Закрыто до завтра,55.609101,38.089704,"38.089704,55.609101",https://yandex.ru/maps/org/bank_uralsib/1132633422/,"Банк, обмен валюты"
137189659412,Камкомбанк,"Люсиновская ул., 29, стр. 1, Москва",4.7,"4,7",501,501 оценка,Открыто до 22:00,55.724771,37.622924,"37.622924,55.724771",https://yandex.ru/maps/org/kamkombank/137189659412/,"Банк, обмен валюты"
186234189287,Камкомбанк,"Тверская ул., 6, стр. 2, Москва",4.9,"4,9",921,921 оценка,Открыто до 22:00,55.761627,37.610998,"37.610998,55.761627",https://yandex.ru/maps/org/kamkombank/186234189287/,"Банк, обмен валюты"
1123630820,Локо-банк,"Люблинская ул., 165, корп. 2, Москва",4.1,"4,1",204,204 оценки,Закрыто до завтра,55.649738,37.745815,"37.745815,55.649738",https://yandex.ru/maps/org/loko_bank/1123630820/,"Банк, обмен валюты"
169196481455,Камкомбанк,"просп. Вернадского, 33, Москва",4.8,"4,8",1469,1469 оценок,Открыто до 22:00,55.680343,37.513699,"37.513699,55.680343",https://yandex.ru/maps/org/kamkombank/169196481455/,"Банк, обмен валюты"
144983611252,Камкомбанк,"Бутырская ул., 6, Москва",4.9,"4,9",973,973 оценки,Открыто до 22:00,55.795742,37.584935,"37.584935,55.795742",https://yandex.ru/maps/org/kamkombank/144983611252/,"Банк, обмен валюты"
1021725430,Банк Уралсиб,"Люблинская ул., 175, Москва, этаж 1",4.0,"4,0",420,420 оценок,Закрыто до завтра,55.645653,37.747192,"37.747192,55.645653",https://yandex.ru/maps/org/bank_uralsib/1021725430/,"Банк, обмен валюты"
164497894321,Банк Казани,"Пречистенская наб., 5, Москва",5.0,"5,0",255,255 оценок,Закрыто до завтра,55.736145,37.600186,"37.600186,55.736145",https://yandex.ru/maps/org/bank_kazani/164497894321/,"Банк, обмен валюты"
1100986746,СберБанк,"Советская ул., 34А, Видное",4.9,"4,9",2249,2249 оценок,Закрыто до завтра,55.548451,37.701602,"37.701602,55.548451",https://yandex.ru/maps/org/sberbank/1100986746/,"Банк, обмен валюты"
7360275942,Цифра банк,"ул. Каретный Ряд, 5/10с2, Москва, этаж цокольный",4.2,"4,2",840,840 оценок,Закрыто до завтра,55.772789,37.608566,"37.608566,55.772789",https://yandex.ru/maps/org/tsifra_bank/7360275942/,"Банк, обмен валюты"
59903012966,Операционная касса,"Профсоюзная ул., 56, Москва, этаж 1",5.0,"5,0",81,81 оценка,Закрыто до завтра,55.669961,37.55215,"37.552150,55.669961",https://yandex.ru/maps/org/operatsionnaya_kassa/59903012966/,Обмен валюты
234183637935,FinTrust,"просп. Вернадского, 11/19, Москва",5.0,"5,0",269,269 оценок,Открыто до 23:00,55.68916,37.529523,"37.529523,55.689160",https://yandex.ru/maps/org/fintrust/234183637935/,"Обмен валюты, прочие кассы"
104803901393,Камкомбанк,"Новоясеневский просп., 32, корп. 1, Москва",4.8,"4,8",471,471 оценка,Открыто до 22:00,55.604041,37.539972,"37.539972,55.604041",https://yandex.ru/maps/org/kamkombank/104803901393/,"Банк, обмен валюты"
1000748776,Банк Авангард,"Люблинская ул., 153, Москва, Гипермаркет Ашан, ТРЦ ЛЮБЛЮ МОЛЛ",4.1,"4,1",103,103 оценки,Открыто до 22:00,55.658188,37.741525,"37.741525,55.658188",https://yandex.ru/maps/org/bank_avangard/1000748776/,"Банк, обмен валюты"
139236718511,Камкомбанк,"Ярцевская ул., 14, Москва",5.0,"5,0",558,558 оценок,Открыто до 22:00,55.73799,37.412471,"37.412471,55.737990",https://yandex.ru/maps/org/kamkombank/139236718511/,"Банк, обмен валюты"
53423552686,Камкомбанк,"Бакунинская ул., 50, стр. 1, Москва",4.8,"4,8",266,266 оценок,Открыто до 22:00,55.776692,37.68808,"37.688080,55.776692",https://yandex.ru/maps/org/kamkombank/53423552686/,"Банк, обмен валюты"
1125106989,Норвик банк,"ул. Зацепский Вал, 5, Москва",4.2,"4,2",641,641 оценка,Закрыто до завтра,55.732054,37.640399,"37.640399,55.732054",https://yandex.ru/maps/org/norvik_bank/1125106989/,"Банк, обмен валюты"
1061982430,Банк Авангард,"Рязанский просп., 30, корп. 2, Москва, ТЦ Рязанский",3.9,"3,9",97,97 оценок,До закрытия 1 мин,55.71809,37.7843,"37.784300,55.718090",https://yandex.ru/maps/org/bank_avangard/1061982430/,"Банк, обмен валюты"
193781225571,Приморье,"ул. Усачёва, 35, стр. 1, Москва",4.3,"4,3",357,357 оценок,Закрыто до завтра,55.722492,37.560683,"37.560683,55.722492",https://yandex.ru/maps/org/primorye/193781225571/,"Банк, обмен валюты"
1079686497,Банк Авангард,"Вешняковская ул., 17А, Москва, этаж 1",4.4,"4,4",127,127 оценок,До закрытия 1 мин,55.734637,37.830815,"37.830815,55.734637",https://yandex.ru/maps/org/bank_avangard/1079686497/,"Банк, обмен валюты"
1071533837,Нс банк,"Варшавское ш., 152, корп. 11, Москва",4.3,"4,3",496,496 оценок,Закрыто до завтра,55.589944,37.597256,"37.597256,55.589944",https://yandex.ru/maps/org/ns_bank/1071533837/,"Банк, обмен валюты"
1090542201,Солид банк,"Хорошёвское ш., 32А, Москва, подъезд 11",4.3,"4,3",1134,1134 оценки,Закрыто до завтра,55.776486,37.541755,"37.541755,55.776486",https://yandex.ru/maps/org/solid_bank/1090542201/,"Банк, обмен валюты"
1063359246,Далена банк,"ш. Энтузиастов, 56, стр. 32, Москва",3.9,"3,9",404,404 оценки,Закрыто до завтра,55.760128,37.763339,"37.763339,55.760128",https://yandex.ru/maps/org/dalena_bank/1063359246/,"Банк, обмен валюты"
94501903403,ФинТех,"Ленинградский просп., 10, Москва",5.0,"5,0",353,353 оценки,Открыто до 00:00,55.779708,37.579719,"37.579719,55.779708",https://yandex.ru/maps/org/fintekh/94501903403/,Обмен валюты
10214677436,Новиком,"ул. Жуковского, 1, Жуковский",3.9,"3,9",111,111 оценок,Закрыто до завтра,55.595218,38.112705,"38.112705,55.595218",https://yandex.ru/maps/org/novikom/10214677436/,"Банк, обмен валюты"
138027085018,Приморье,"ул. Земляной Вал, 7, Москва, этаж 1",4.2,"4,2",860,860 оценок,Закрыто до завтра,55.762139,37.657705,"37.657705,55.762139",https://yandex.ru/maps/org/primorye/138027085018/,"Банк, обмен валюты"
1133836910,СберБанк,"Измайловский просп., 61, Москва",4.5,"4,5",1018,1018 оценок,Закрыто до завтра,55.788811,37.783703,"37.783703,55.788811",https://yandex.ru/maps/org/sberbank/1133836910/,"Банк, обмен валюты"
1785658845,Совкомбанк,"просп. Андропова, 30, Москва",4.1,"4,1",422,422 оценки,Закрыто до завтра,55.67914,37.662426,"37.662426,55.679140",https://yandex.ru/maps/org/sovkombank/1785658845/,"Банк, обмен валюты"
9424478193,Банк Авангард,"ш. Энтузиастов, 80, Балашиха, Гипермаркет Лента",4.2,"4,2",143,143 оценки,До закрытия 1 мин,55.798056,37.985143,"37.985143,55.798056",https://yandex.ru/maps/org/bank_avangard/9424478193/,"Банк, обмен валюты"
234539403439,Банк Авангард,"Носовихинское ш., 45, Реутов, этаж 2",4.0,"4,0",67,67 оценок,Открыто до 22:00,55.751859,37.8865,"37.886500,55.751859",https://yandex.ru/maps/org/bank_avangard/234539403439/,"Банк, обмен валюты"
153815366707,Камкомбанк,"Краснопрудная ул., 13, Москва, помещение 2/Ц",5.0,"5,0",138,138 оценок,Открыто до 22:00,55.781038,37.666908,"37.666908,55.781038",https://yandex.ru/maps/org/kamkombank/153815366707/,"Банк, обмен валюты"
55945506781,Камкомбанк,"Чертановская ул., 1В, корп. 1, Москва",4.9,"4,9",107,107 оценок,Открыто до 22:00,55.639642,37.606645,"37.606645,55.639642",https://yandex.ru/maps/org/kamkombank/55945506781/,"Банк, обмен валюты"
190089271604,Камкомбанк,"Поварская ул., 10, стр. 1, Москва",5.0,"5,0",87,87 оценок,Открыто до 22:00,55.753564,37.598205,"37.598205,55.753564",https://yandex.ru/maps/org/kamkombank/190089271604/,"Банк, обмен валюты"
189393089555,Приморье,"Новинский бул., 12, Москва",4.6,"4,6",205,205 оценок,Закрыто до завтра,55.753433,37.584084,"37.584084,55.753433",https://yandex.ru/maps/org/primorye/189393089555/,"Банк, обмен валюты"
229249615306,Камкомбанк,"Балтийская ул., 4, Москва",4.9,"4,9",361,361 оценка,Открыто до 22:00,55.807218,37.512548,"37.512548,55.807218",https://yandex.ru/maps/org/kamkombank/229249615306/,"Обмен валюты, банк"
1273312633,Крокус банк,"МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина",4.2,"4,2",96,96 оценок,Открыто до 21:45,55.585326,37.724822,"37.724822,55.585326",https://yandex.ru/maps/org/krokus_bank/1273312633/,"Банк, обмен валюты"
209898773340,Битокс,"Пресненская наб., 12, Москва, этаж 22",5.0,"5,0",239,239 оценок,Открыто до 22:00,55.749687,37.537133,"37.537133,55.749687",https://yandex.ru/maps/org/bitoks/209898773340/,"Обмен валюты, электронная коммерция"
53439082382,Генбанк,"Малая Андроньевская ул., 20/8с1-1А, Москва",4.4,"4,4",466,466 оценок,Закрыто до завтра,55.742343,37.673378,"37.673378,55.742343",https://yandex.ru/maps/org/genbank/53439082382/,"Банк, обмен валюты"
236148688553,Камкомбанк,"площадь Победы, 2, корп. 1, Москва",4.9,"4,9",525,525 оценок,Открыто до 22:00,55.737657,37.52122,"37.521220,55.737657",https://yandex.ru/maps/org/kamkombank/236148688553/,"Банк, обмен валюты"
1235641738,СберБанк,"ул. 40 лет Октября, 15/1, Щербинка",4.8,"4,8",1566,1566 оценок,Закрыто до завтра,55.511768,37.573517,"37.573517,55.511768",https://yandex.ru/maps/org/sberbank/1235641738/,"Банк, обмен валюты"
1413870117,Генбанк,"Фабричная ул., 38, Раменское",4.7,"4,7",130,130 оценок,Закрыто до завтра,55.584935,38.200552,"38.200552,55.584935",https://yandex.ru/maps/org/genbank/1413870117/,"Банк, обмен валюты"
71213801191,Банк Авангард,"Шоссейная ул., 34, стр. 1, Москва, Супермаркет Перекресток",4.1,"4,1",140,140 оценок,До закрытия 1 мин,55.682763,37.722992,"37.722992,55.682763",https://yandex.ru/maps/org/bank_avangard/71213801191/,"Банк, обмен валюты"
1031872445,Банк Авангард,"Кустанайская ул., 6, Москва, ТЦ Столица",4.2,"4,2",160,160 оценок,До закрытия 1 мин,55.619574,37.752149,"37.752149,55.619574",https://yandex.ru/maps/org/bank_avangard/1031872445/,"Банк, обмен валюты"
212462971968,Обмен валюты,"Мичуринский просп., 22, корп. 1, Москва, этаж 1",4.1,"4,1",42,42 оценки,Закрыто до завтра,55.701387,37.504388,"37.504388,55.701387",https://yandex.ru/maps/org/obmen_valyuty/212462971968/,Обмен валюты
167759495630,Обмен валюты,"Валовая ул., 8/18, Москва",3.9,"3,9",17,17 оценок,Закрыто до завтра,55.730909,37.632977,"37.632977,55.730909",https://yandex.ru/maps/org/obmen_valyuty/167759495630/,Обмен валюты
219997032792,Банк Уралсиб,"Марксистская ул., 1, корп. 1, Москва, этаж 1",3.9,"3,9",377,377 оценок,Закрыто до завтра,55.740495,37.658037,"37.658037,55.740495",https://yandex.ru/maps/org/bank_uralsib/219997032792/,"Банк, обмен валюты"
124346658280,Кредит Европа банк,"Волгоградский просп., 94, корп. 1, Москва, станция метро Кузьминки",4.1,"4,1",186,186 оценок,Закрыто до завтра,55.704164,37.771461,"37.771461,55.704164",https://yandex.ru/maps/org/kredit_yevropa_bank/124346658280/,"Банк, обмен валюты"
1349378966,РНКО Металлург,"ул. Ивана Бабушкина, 16А, Москва",4.3,"4,3",461,461 оценка,Закрыто до завтра,55.684792,37.560372,"37.560372,55.684792",https://yandex.ru/maps/org/rnko_metallurg/1349378966/,"Банк, обмен валюты"
1004951849,Банк Уралсиб,"ул. Ефремова, 8, Москва, этаж 1",4.1,"4,1",1528,1528 оценок,Закрыто до завтра,55.726402,37.577329,"37.577329,55.726402",https://yandex.ru/maps/org/bank_uralsib/1004951849/,"Банк, обмен валюты"
1213962659,Банк Авангард,"Парковая ул., с2, Лыткарино, ТК Весна",4.1,"4,1",62,62 оценки,Закрыто до вторника,55.582014,37.912219,"37.912219,55.582014",https://yandex.ru/maps/org/bank_avangard/1213962659/,"Банк, обмен валюты"
1025324746,СберБанк,"Борисовский пр., 11, корп. 1, стр. 2, Москва",4.3,"4,3",658,658 оценок,Закрыто до завтра,55.626691,37.722196,"37.722196,55.626691",https://yandex.ru/maps/org/sberbank/1025324746/,"Банк, обмен валюты"
142469507173,Юнистрим,"Новоухтомское ш., 2А, Москва, комната № 278",4.0,"4,0",36,36 оценок,До закрытия 16 мин,55.714106,37.845242,"37.845242,55.714106",https://yandex.ru/maps/org/yunistrim/142469507173/,"Банк, обмен валюты"
110868104710,Камкомбанк,"Восточная ул., 13, Москва",4.9,"4,9",68,68 оценок,Открыто до 22:00,55.712183,37.659021,"37.659021,55.712183",https://yandex.ru/maps/org/kamkombank/110868104710/,"Банк, обмен валюты"
201392994175,Обмен валюты,"просп. Вернадского, 14А, Москва",4.9,"4,9",27,27 оценок,Закрыто до завтра,55.677823,37.507503,"37.507503,55.677823",https://yandex.ru/maps/org/obmen_valyuty/201392994175/,Обмен валюты
87918851510,СберБанк,"Просторная ул., 8, Москва",4.7,"4,7",1125,1125 оценок,Закрыто до завтра,55.805034,37.717523,"37.717523,55.805034",https://yandex.ru/maps/org/sberbank/87918851510/,"Банк, обмен валюты"
40687507430,Московский кредитный банк,"Зелёный просп., 54А, Москва, помещение 3Н, 4Н",4.0,"4,0",441,441 оценка,Закрыто до завтра,55.751861,37.812939,"37.812939,55.751861",https://yandex.ru/maps/org/moskovskiy_kreditny_bank/40687507430/,"Банк, обмен валюты"
